City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Pentecoste,BR,-3.7928,-39.2703,79.68,57,10,6.31,1627865354
Saldanha,ZA,-33.0117,17.9442,48.25,87,40,8.16,1627865354
Regen,DE,48.9667,13.1333,57.2,96,100,3.02,1627865355
Paamiut,GL,61.994,-49.6678,45.66,93,100,8.59,1627865355
Ushuaia,AR,-54.8,-68.3,37.17,87,34,8.41,1627865104
Kruisfontein,ZA,-34.0033,24.7314,56.88,81,84,12.62,1627865355
Belyy Yar,RU,53.6039,91.3903,60.69,82,0,4.47,1627865356
Cape Town,ZA,-33.9258,18.4232,57.11,83,0,1.01,1627865086
Hermanus,ZA,-34.4187,19.2345,55.8,86,97,5.35,1627865356
Miepherkeim,TR,38.1419,41.0081,71.89,40,0,6.02,1627865357
Souillac,MU,-20.5167,57.5167,68.38,83,40,11.5,1627865357
Ponta do Sol,PT,32.6667,-17.1,72.23,89,2,4.03,1627865357
Bredasdorp,ZA,-34.5322,20.0403,56.52,88,100,1.14,1627865357
Karachev,RU,53.1229,34.9852,66.09,81,100,6.11,1627865358
Ribeira Grande,PT,38.5167,-28.7,72.82,95,16,13.67,1627865358
Pisco,PE,-13.7,-76.2167,62.65,82,75,12.66,1627865093
Dhidhdhoo,MV,6.8833,73.1,83.16,73,100,14.25,1627865358
East London,ZA,-33.0153,27.9116,62.13,67,77,19.35,1627865359
Riyadh,SA,24.6877,46.7219,89.74,11,6,7.54,1627865300
Curaçá,BR,-8.9903,-39.9094,71.01,58,33,15.1,1627865359
Hanover,DE,52.3705,9.7332,59.94,93,40,1.01,1627865216
Chepo,PA,9.1667,-79.1,83.01,89,100,0.94,1627865360
Senno,RU,59.5336,33.9167,51.26,94,100,4.94,1627865360
Yarmouth,US,41.7057,-70.2286,70.27,75,75,1.99,1627865360
Nyamuswa,TZ,-1.9,34.0167,68.86,55,8,4.09,1627865360
Narsaq,GL,60.9167,-46.05,61.02,74,100,6.76,1627865361
Jamestown,US,42.097,-79.2353,61.3,87,90,4.0,1627865358
Andenes,NO,69.3143,16.1194,46.38,87,90,13.8,1627865361
Kavaratti,IN,10.5669,72.642,82.06,75,93,16.4,1627865361
Mehamn,NO,71.0357,27.8492,45.27,91,100,17.81,1627865362
Tasiilaq,GL,65.6145,-37.6368,48.36,77,100,3.83,1627865362
Mahébourg,MU,-20.4081,57.7,68.29,83,40,11.5,1627865362
Arrondissement de Rennes,FR,48.1667,-1.6667,59.58,100,23,3.44,1627865363
Ilulissat,GL,69.2167,-51.1,60.82,33,0,26.46,1627865363
Salisbury,GB,51.0693,-1.7957,60.48,88,75,4.61,1627865363
Grand Gaube,MU,-20.0064,57.6608,68.4,85,17,3.0,1627865364
São Félix do Xingu,BR,-6.6447,-51.995,78.48,46,57,2.46,1627865364
George Town,MY,5.4112,100.3354,78.89,91,20,1.99,1627865066
Mar del Plata,AR,-38.0023,-57.5575,45.09,1,0,1.99,1627865364
Chicama,PE,-7.8447,-79.1469,63.14,80,0,6.08,1627865365
Nuuk,GL,64.1835,-51.7216,59.61,67,90,4.61,1627865365
São João da Barra,BR,-21.6403,-41.0511,67.12,65,88,8.46,1627865365
Arraial do Cabo,BR,-22.9661,-42.0278,66.36,74,7,13.73,1627865366
Marzuq,YE,14.4,46.4667,80.06,60,44,4.36,1627865366
Hong Kong,HK,22.2855,114.1577,86.97,88,100,1.01,1627864856
Hofn,IS,64.2539,-15.2082,53.51,92,98,2.68,1627865366
Oyotún,PE,-6.8519,-79.3036,71.04,70,1,2.17,1627865366
Lagoa,PT,39.05,-27.9833,71.83,95,100,14.88,1627865367
Tibati,CM,6.4667,12.6333,65.32,98,100,2.33,1627865367
Punta Arenas,CL,-53.15,-70.9167,41.11,75,40,23.02,1627865315
Pervouralsk,RU,56.9053,59.9436,53.85,87,100,5.68,1627865368
Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,11.5,1627865368
Clyde River,CA,70.4692,-68.5914,41.23,87,75,19.57,1627865368
Hattiesburg,US,31.3271,-89.2903,84.45,83,1,5.75,1627865368
Codrington,AU,-38.2667,141.9667,52.47,72,39,20.4,1627865369
Dallas,US,32.7668,-96.7836,81.57,91,90,0.0,1627865099
Cidreira,BR,-30.1811,-50.2056,55.8,94,4,4.45,1627865369
Klaksvík,FO,62.2266,-6.589,47.32,79,96,4.92,1627865369
Port Alfred,ZA,-33.5906,26.891,60.84,82,75,21.85,1627865370
Kamenka,RU,51.3223,42.7678,69.73,68,3,4.92,1627865370
Menzelinsk,RU,55.7271,53.1026,61.84,70,8,5.73,1627865370
Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,13.8,1627865371
Bathsheba,BB,13.2167,-59.5167,81.21,83,40,11.5,1627865371
Dingle,PH,10.9995,122.6711,85.78,70,98,14.36,1627865371
Platonovka,RU,52.7106,41.952,68.92,54,3,6.24,1627865372
Macusani,PE,-14.0833,-70.4333,33.73,85,80,7.0,1627865372
Uruguaiana,BR,-29.7547,-57.0883,51.73,76,0,8.05,1627865372
Husavik,IS,66.0449,-17.3389,53.51,74,100,1.9,1627865372
Marmaris,TR,36.855,28.2742,89.55,39,0,8.86,1627865373
Thinadhoo,MV,0.5333,72.9333,81.52,71,78,3.2,1627865373
Kostino,RU,58.9097,53.2691,57.0,90,100,4.29,1627865373
Busselton,AU,-33.65,115.3333,54.21,68,100,7.72,1627865374
Hithadhoo,MV,-0.6,73.0833,81.32,72,85,6.42,1627865374
kimparana,ML,12.8347,-4.9244,76.26,79,8,8.59,1627865374
